Patente,raev100,dev,Riesgo
SKPJ27,5.0,96,bajo
SLHS90,3.0,65,bajo
TFYJ45,2.8,61,bajo
TLZL35,2.5,70,bajo
TFYJ44,2.4,58,bajo
SLHS92,2.1,50,bajo
TPVF66,1.9,36,bajo
SXCG35,1.7,37,bajo
LXXL85,1.3,21,bajo
RLWB14,0.9,6,bajo
PJJT97,0.0,0,bajo
