Transportista,Patente,Date,bajo,medio,alto,distance,raev,dev
Coseducam,TFPB74,2025-01-29,6.2,8.2,10.3,519.2854588845715,13.280723732858458,8.798319438158272
Coseducam,TJPJ24,2025-01-29,6.2,8.2,10.3,71.72973049032338,2.279134401190474,1.8905478963321485
Vía Carrión,TFYJ44,2025-01-29,6.2,8.2,10.3,357.78021052725825,3.7535288353534484,2.3995530991804888
Coseducam,TJZC78,2025-01-29,6.2,8.2,10.3,146.17712265086038,2.577025162756016,2.038034246305136
Coseducam,SWSW95,2025-01-29,6.2,8.2,10.3,519.0298003275067,14.13545868404706,8.496987214239459
Coseducam,TBRC90,2025-01-29,6.2,8.2,10.3,350.02145483658563,7.952170259066909,5.531269996291195
Coseducam,SZBK92,2025-01-29,6.2,8.2,10.3,52.848736732142726,10.923399854439255,8.495913650042377
Coseducam,SYLR60,2025-01-29,6.2,8.2,10.3,524.5555358714334,18.155701153191824,11.232536899291507
Coseducam,TFYH22,2025-01-29,6.2,8.2,10.3,147.9392494253546,2.5713252634951225,1.9042678292472077
Vía Carrión,SLHS92,2025-01-29,6.2,8.2,10.3,352.4289927633382,7.498710569070004,4.621730522195662
Coseducam,TFHH29,2025-01-29,6.2,8.2,10.3,520.0883723136495,11.45658023671781,7.373288311271531
Coseducam,SHXC68,2025-01-29,6.2,8.2,10.3,11.57859064367361,0.0,0.0
Coseducam,TCSW39,2025-01-29,6.2,8.2,10.3,222.37334819578135,0.8830302567745442,0.638334001336229
Coseducam,TBRS43,2025-01-29,6.2,8.2,10.3,389.256721879065,16.72762240279068,11.21490021058119
Vía Carrión,SXCG35,2025-01-29,6.2,8.2,10.3,89.93346679195153,0.0,0.0
Coseducam,TCLY66,2025-01-29,6.2,8.2,10.3,3.852236458097434,0.0,0.0
Vía Carrión,TFYJ45,2025-01-29,6.2,8.2,10.3,413.0365049144695,12.959983869109893,7.852240648565506
Coseducam,TBLK38,2025-01-29,6.2,8.2,10.3,508.9706257939305,12.078607890547927,7.7010560163322355
Coseducam,SSBV29,2025-01-29,6.2,8.2,10.3,347.66619593490026,8.171153697220252,5.190551995674936
Coseducam,SJFS45,2025-01-29,6.2,8.2,10.3,5.789654103486793,0.0,0.0
Vía Carrión,PJJT97,2025-01-29,6.2,8.2,10.3,0.829478772392483,0.0,0.0
Coseducam,SKPK71,2025-01-29,6.2,8.2,10.3,23.698672094717296,0.0,0.0
Coseducam,SKPK78,2025-01-29,6.2,8.2,10.3,519.4803550405601,13.647635891213163,7.8974552680556735
Coseducam,TBLK39,2025-01-29,6.2,8.2,10.3,522.2824509090892,11.267838491334995,6.959442306587217
Coseducam,SYLR61,2025-01-29,6.2,8.2,10.3,273.79959940089344,10.264358446541692,6.883877638718694
Coseducam,SRGS63,2025-01-29,6.2,8.2,10.3,7.86686068096632,0.0,0.0
Coseducam,TJRF23,2025-01-29,6.2,8.2,10.3,46.124511399215244,0.0,0.0
Coseducam,RPCJ37,2025-01-29,6.2,8.2,10.3,256.0572062800221,4.797558467052123,2.967628509995901
Coseducam,TFFK63,2025-01-29,6.2,8.2,10.3,400.5326222541133,8.186121396519585,5.5165957657394875
Coseducam,TJPH86,2025-01-29,6.2,8.2,10.3,263.2834865465941,2.7461865680974142,1.8418871269702186
Coseducam,TFYH20,2025-01-29,6.2,8.2,10.3,257.5101616867376,5.812820541068972,3.5601083939432403
Coseducam,SXCF12,2025-01-29,6.2,8.2,10.3,71.22504513954574,4.060339340391739,3.2564275269136895
Coseducam,TCLZ14,2025-01-29,6.2,8.2,10.3,291.6954557059843,8.13240677571371,4.851681870325963
Vía Carrión,RLWB14,2025-01-29,6.2,8.2,10.3,512.3488765190143,7.5619244997349515,6.194941910974583
Coseducam,RPCJ35,2025-01-29,6.2,8.2,10.3,156.82253070247046,1.8420803947154114,1.4282872587757134
Coseducam,TJPH87,2025-01-29,6.2,8.2,10.3,270.05688312277323,4.865836294180293,3.027697804031137
Coseducam,TBGK53,2025-01-29,6.2,8.2,10.3,86.24698309948899,0.019989625409180912,0.016829504599999986
Coseducam,TJZC77,2025-01-29,6.2,8.2,10.3,262.26110028662026,6.181788702781099,4.280734326320435
Coseducam,SKTL81,2025-01-29,6.2,8.2,10.3,0.0,0.0,0.0
Coseducam,SZXB12,2025-01-29,6.2,8.2,10.3,274.7367442404299,3.3896884512672223,2.1206707713898445
Coseducam,PBGF90,2025-01-29,6.2,8.2,10.3,517.2340804011703,11.522533709643366,7.709733546295549
Coseducam,SWKV91,2025-01-29,6.2,8.2,10.3,79.86698252865091,0.032776000927117695,0.025037403862584687
Coseducam,TCYZ29,2025-01-29,6.2,8.2,10.3,267.53025263218274,6.34063131015661,3.9907643769829466
Coseducam,SXSW78,2025-01-29,6.2,8.2,10.3,285.9740885253079,5.479395070680414,3.3986129038166224
Coseducam,TBRS46,2025-01-29,6.2,8.2,10.3,522.2130880168386,6.402745796168121,4.121157679506497
Coseducam,TBGK51,2025-01-29,6.2,8.2,10.3,357.2225155758226,5.536072006414146,3.814094009975045
Coseducam,TBYZ89,2025-01-29,6.2,8.2,10.3,268.3223514300894,1.443567490732787,1.093329519478754
Coseducam,TJYV60,2025-01-29,6.2,8.2,10.3,508.41837281024016,10.22299090144917,6.4777477100310294
Coseducam,SRGS64,2025-01-29,6.2,8.2,10.3,357.6216121788613,12.720995488300614,9.195768993583872
Vía Carrión,SKPJ27,2025-01-29,6.2,8.2,10.3,408.33982619428735,13.144961103791859,8.389009549970302
Coseducam,SHXC81,2025-01-29,6.2,8.2,10.3,521.3603427665789,14.50664634816835,8.960004067773008
Coseducam,SWKT42,2025-01-29,6.2,8.2,10.3,431.3499235082079,7.877122210718826,5.57044147057149
Coseducam,TDCV27,2025-01-29,6.2,8.2,10.3,3.397454971759432,0.0,0.0
Coseducam,TJCC39,2025-01-29,6.2,8.2,10.3,270.42629930316207,3.5746475951606906,2.626595976873249
Coseducam,TCYL61,2025-01-29,6.2,8.2,10.3,270.40934543614424,5.4800458294758725,3.3800832153239897
Coseducam,SHXC82,2025-01-29,6.2,8.2,10.3,6.347396883765929,0.08412911950269124,0.06556923788024996
Vía Carrión,TLZL35,2025-01-29,6.2,8.2,10.3,524.7164099672323,18.688218570228546,14.989043068428986
Coseducam,TJSZ85,2025-01-29,6.2,8.2,10.3,310.4527141440568,12.365870805055556,8.507526835099203
Coseducam,TBGK52,2025-01-29,6.2,8.2,10.3,148.00726365292442,5.008809514208416,3.3976908044044443
Coseducam,TDCV29,2025-01-29,6.2,8.2,10.3,503.06046661498215,5.313732466819346,3.2196747272134996
Coseducam,TJCC40,2025-01-29,6.2,8.2,10.3,520.033500599584,7.589258300894607,4.9094609184827736
Coseducam,TBGK50,2025-01-29,6.2,8.2,10.3,279.6576994009507,7.936989729158906,5.843046320594109
Coseducam,TFPD16,2025-01-29,6.2,8.2,10.3,0.30877076927859914,0.0,0.0
Coseducam,SCRW85,2025-01-29,6.2,8.2,10.3,243.7424258129974,7.363217927076457,4.848044817617227
Coseducam,SDSW47,2025-01-29,6.2,8.2,10.3,268.83756845139686,7.766506090043862,5.307365820969573
Coseducam,SCRW86,2025-01-29,6.2,8.2,10.3,273.0381318938755,4.738736278030801,2.9760123427134446
Vía Carrión,SKPJ27,2025-01-28,6.2,8.2,10.3,388.4907363414918,31.64117286920243,21.367327703965124
Coseducam,SCRW86,2025-01-28,6.2,8.2,10.3,252.5590504685837,12.553717820928027,8.35185118921888
Coseducam,TBRC90,2025-01-28,6.2,8.2,10.3,253.80386295442491,7.637810950965804,5.434850176272872
Coseducam,SCRW85,2025-01-28,6.2,8.2,10.3,284.31751708175796,6.166919945526663,3.916421603226681
Vía Carrión,PJJT97,2025-01-28,6.2,8.2,10.3,8.02940000241723,0.0,0.0
Coseducam,TJPH87,2025-01-28,6.2,8.2,10.3,254.53919556985997,5.546415836310194,3.395921046177423
Coseducam,TBYZ89,2025-01-28,6.2,8.2,10.3,251.5541369677817,4.870209447677913,3.2636260776370056
Coseducam,SYLR61,2025-01-28,6.2,8.2,10.3,254.35920804988402,3.8538759683054757,3.0350618071873314
Vía Carrión,SLHS92,2025-01-28,6.2,8.2,10.3,434.7929530663155,12.503571861237956,8.072893397998735
Coseducam,SRGS64,2025-01-28,6.2,8.2,10.3,267.36346751341375,5.880477820018784,3.6975119464611144
Vía Carrión,SXCG35,2025-01-28,6.2,8.2,10.3,503.94101021036033,9.700839952788673,6.029481105290518
Coseducam,SYLR60,2025-01-28,6.2,8.2,10.3,3.190559515011984,0.0,0.0
Coseducam,SDSW47,2025-01-28,6.2,8.2,10.3,158.8171001367374,2.5359226652386977,1.8143595702192767
Coseducam,TBRS46,2025-01-28,6.2,8.2,10.3,0.2592557229930739,0.0,0.0
Coseducam,TJPJ24,2025-01-28,6.2,8.2,10.3,436.5669587205421,13.095999024731986,8.0326119016057
Coseducam,TFHH29,2025-01-28,6.2,8.2,10.3,272.69349780858363,3.7273869521085,2.515064356389796
Vía Carrión,RLWB14,2025-01-28,6.2,8.2,10.3,2.097325137110615,0.0,0.0
